id,name,category,image_url
a0b53d10-901c-463a-b30e-45d14c4ecf89,"Beautiful Artificial Plant Showpiece 14",vases-plants,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/ar-plants/product-14.png
d3e47252-63fd-4387-a4b4-113bd3337c83,"Beautiful Artificial Plant Showpiece 16",vases-plants,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/ar-plants/product-16.png
6f672e41-9117-4387-9b70-ac9327402d5a,"Beautiful Artificial Plant Showpiece 32",vases-plants,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/ar-plants/product-32.png
96076ce8-2eed-4088-badd-22b6bff06dfd,"Beautiful Artificial Plant Showpiece 48",vases-plants,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/ar-plants/product-48.png
6b1f7261-6667-418e-909e-cd9a94e78c27,"Beautiful Artificial Plant Showpiece 62",vases-plants,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/ar-plants/product-62.png
a74c8104-b30f-4bd6-baac-807c864b7ad4,"Artificial Flower Bunch 65",decor,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/artificial-flowers/product-65.png
5ac5e9e1-4bd1-4419-a20f-68b859dcf5b3,"Artificial Flower Bunch 72",decor,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/artificial-flowers/product-72.png
2c01923c-25ec-463c-b2fb-545248c2f827,"Artificial Flower Bunch 82",decor,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/artificial-flowers/product-82.png
a6e4e97a-3ff0-4ae1-82b0-e165688a2f29,"Artificial Flower Bunch 95",decor,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/artificial-flowers/product-95.png
df2e9bd0-b542-4847-8e1f-879dd324c26b,"Premium Bag & Lifestyle Accessory 100",lifestyle-accessories,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/bags-accessories/product-100.png
a7175617-1703-41f8-9276-c1da9e0c7c7f,"Premium Bag & Lifestyle Accessory 105",lifestyle-accessories,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/bags-accessories/product-105.png
54432e0c-5a19-4275-9841-aec01d7d03f5,"Premium Bag & Lifestyle Accessory 114",lifestyle-accessories,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/bags-accessories/product-114.png
14f149d9-9155-4fc9-91f9-350d28ac4667,"Premium Bag & Lifestyle Accessory 118",lifestyle-accessories,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/bags-accessories/product-118.png
015b0d12-ee39-47b3-9908-9e0c68dec428,"Premium Bag & Lifestyle Accessory 124",lifestyle-accessories,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/bags-accessories/product-124.png
ca5b6ea6-0076-4003-a8a8-f63931c316af,"Premium Bag & Lifestyle Accessory 133",lifestyle-accessories,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/bags-accessories/product-133.png
a405f813-fa5d-4807-abca-0c77d5d78c0a,"Stylish Water Bottle / Flask 136",lifestyle-accessories,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/bottles/product-136.png
ab1a3d01-48bb-4d30-9b15-67a559a232d9,"Stylish Water Bottle / Flask 139",lifestyle-accessories,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/bottles/product-139.png
62c9ee69-5511-4e56-8efc-4001d0c4da27,"Stylish Water Bottle / Flask 148",lifestyle-accessories,https://rgpkomngygapwjhnbgaf.supabase.co/storage/v1/object/public/product-images/bottles/product-148.png
